ruta	ejes	fragmentos	lineas_codigo	capitulos	importado_desde
restored-src/src/tools/BashTool/shouldUseSandbox.ts	FRAGMENTO+MENCION	2	29	part5/ch18b.md	-
restored-src/src/tools/EnterPlanModeTool/EnterPlanModeTool.ts	FRAGMENTO+MENCION	1	20	part1/ch04b.md	-
restored-src/src/tools/EnterPlanModeTool/prompt.ts	FRAGMENTO+MENCION	1	5	part1/ch04b.md	-
restored-src/src/tools/ExitPlanModeTool/ExitPlanModeV2Tool.ts	FRAGMENTO+MENCION	7	93	part1/ch04b.md	-
restored-src/src/tools/FileEditTool/prompt.ts	FRAGMENTO+MENCION	1	5	part7/ch30.md	-
restored-src/src/tools/GrepTool/GrepTool.ts	FRAGMENTO+MENCION	1	2	part7/ch30.md	-
restored-src/src/tools/REPLTool/REPLTool.js	IMPORT_SUELTO	0	0	-	restored-src/src/(contenedor asumido)
restored-src/src/tools/ScheduleCronTool/CronCreateTool.js	IMPORT_SUELTO	0	0	-	restored-src/src/(contenedor asumido)
restored-src/src/tools/ScheduleCronTool/CronDeleteTool.js	IMPORT_SUELTO	0	0	-	restored-src/src/(contenedor asumido)
restored-src/src/tools/ScheduleCronTool/CronListTool.js	IMPORT_SUELTO	0	0	-	restored-src/src/(contenedor asumido)
restored-src/src/tools/SendMessageTool/SendMessageTool.ts	FRAGMENTO+RELATIVO+MENCION	2	16	part5/ch17b.md,part6/ch20b.md	-
restored-src/src/tools/SkillTool/SkillTool.ts	RELATIVO	5	42	part6/ch22.md	-
restored-src/src/tools/SkillTool/prompt.ts	FRAGMENTO+RELATIVO+MENCION	5	24	part4/ch15.md,part6/ch22.md,part7/ch26.md	-
restored-src/src/tools/SleepTool/SleepTool.js	IMPORT_SUELTO	0	0	-	restored-src/src/(contenedor asumido)
restored-src/src/tools/TeamCreateTool/TeamCreateTool.ts	RELATIVO	1	8	part6/ch20b.md	-
restored-src/src/tools/WebBrowserTool/WebBrowserTool.js	IMPORT	0	0	-	restored-src/src/tools.ts
restored-src/src/types/hooks.ts	RELATIVO	4	46	part5/ch18.md	-
restored-src/src/types/permissions.ts	FRAGMENTO+RELATIVO+MENCION	6	26	part5/ch16.md,part6/ch23.md,part7/ch30.md	-
restored-src/src/types/plugin.ts	FRAGMENTO+MENCION	2	19	part6/ch22b.md	-
restored-src/src/types/tools.ts	MENCION	0	0	-	-
restored-src/src/utils/Shell.ts	FRAGMENTO+MENCION	2	19	part5/ch18b.md	-
restored-src/src/utils/agentContext.ts	RELATIVO	2	19	part6/ch20.md,part6/ch20b.md	-
restored-src/src/utils/api.ts	RELATIVO+MENCION	5	64	part4/ch13.md,part4/ch15.md	-
restored-src/src/utils/attachments.ts	FRAGMENTO+RELATIVO+MENCION	2	27	part1/ch04b.md,part6/ch21.md	-
restored-src/src/utils/auth.ts	FRAGMENTO+MENCION	2	9	appendix/g-auth-subscription.md	-
restored-src/src/utils/betas.ts	MENCION	0	0	-	-
restored-src/src/utils/billing.ts	FRAGMENTO+MENCION	1	10	appendix/g-auth-subscription.md	-
restored-src/src/utils/commitAttribution.ts	MENCION	0	0	-	-
restored-src/src/utils/context.ts	MENCION	0	0	-	-
restored-src/src/utils/debug.ts	FRAGMENTO+MENCION	1	12	part7/ch29.md	-
restored-src/src/utils/diagLogs.ts	FRAGMENTO+MENCION	1	5	part7/ch29.md	-
restored-src/src/utils/effort.ts	RELATIVO	4	44	part6/ch21.md	-
restored-src/src/utils/extraUsage.ts	MENCION	0	0	-	-
restored-src/src/utils/fastMode.ts	RELATIVO	5	40	part6/ch21.md	-
restored-src/src/utils/fileHistory.ts	FRAGMENTO+MENCION	1	5	part7/ch28.md	-
restored-src/src/utils/fileStateCache.ts	MENCION	0	0	-	-
restored-src/src/utils/generators.ts	MENCION	0	0	-	-
restored-src/src/utils/gracefulShutdown.ts	FRAGMENTO+MENCION	3	28	part7/ch29.md	-
restored-src/src/utils/growthbook.ts	MENCION	0	0	-	-
restored-src/src/utils/hooks/skillImprovement.ts	RELATIVO	2	12	part6/ch22.md	-
restored-src/src/utils/messages.ts	FRAGMENTO+MENCION	2	46	part1/ch04b.md	-
restored-src/src/utils/permissions/denialTracking.ts	FRAGMENTO+RELATIVO+MENCION	4	29	part5/ch17.md,part7/ch27.md	-
restored-src/src/utils/permissions/permissionSetup.ts	FRAGMENTO+RELATIVO+MENCION	4	52	part1/ch04b.md,part5/ch16.md	-
restored-src/src/utils/permissions/yolo-classifier-prompts/auto_mode_system_prompt.txt	IMPORT	0	0	-	restored-src/src/utils/permissions/yoloClassifier.ts
restored-src/src/utils/permissions/yolo-classifier-prompts/permissions_anthropic.txt	IMPORT	0	0	-	restored-src/src/utils/permissions/yoloClassifier.ts
restored-src/src/utils/permissions/yolo-classifier-prompts/permissions_external.txt	IMPORT	0	0	-	restored-src/src/utils/permissions/yoloClassifier.ts
restored-src/src/utils/permissions/yoloClassifier.ts	RELATIVO+MENCION	17	144	part5/ch17.md	-
restored-src/src/utils/planModeV2.ts	FRAGMENTO+MENCION	2	20	part1/ch04b.md	-
restored-src/src/utils/plans.ts	FRAGMENTO+MENCION	2	45	part1/ch04b.md	-
restored-src/src/utils/plugins/marketplaceHelpers.ts	FRAGMENTO+MENCION	1	1	part6/ch22b.md	-
restored-src/src/utils/plugins/pluginLoader.ts	FRAGMENTO+MENCION	1	3	part6/ch22b.md	-
restored-src/src/utils/plugins/pluginOptionsStorage.ts	FRAGMENTO+MENCION	2	12	part6/ch22b.md	-
restored-src/src/utils/plugins/schemas.ts	FRAGMENTO+MENCION	7	49	part6/ch22b.md	-
restored-src/src/utils/sandbox/sandbox-adapter.ts	FRAGMENTO+MENCION	22	239	part5/ch18b.md	-
restored-src/src/utils/sanitization.ts	FRAGMENTO+MENCION	3	48	part5/ch17b.md	-
